ps,,/Raised_Cosine_Transmit_Filter_tb/Out1
d,elta,
0,0,0
85000000,2,0.641845703
85001000,1,0.639160156
86000000,2,0.519287109
87000000,2,0.198486328
88000000,2,-0.198730469
89000000,2,-0.51953125
90000000,2,-0.642089844
90001000,1,-0.639404297
91000000,2,-0.51953125
92000000,2,-0.198730469
93000000,2,0.198486328
94000000,2,0.519287109
95000000,2,0.641845703
95001000,1,0.639160156
96000000,2,0.519287109
97000000,2,0.198486328
98000000,2,-0.198730469
99000000,2,-0.51953125
100000000,2,-0.642089844
100001000,1,-0.639404297
101000000,2,-0.51953125
102000000,2,-0.198730469
103000000,2,0.198486328
104000000,2,0.519287109
105000000,2,0.641845703
105001000,1,0.639160156
106000000,2,0.519287109
107000000,2,0.198486328
108000000,2,-0.198730469
109000000,2,-0.51953125
110000000,2,-0.642089844
110001000,1,-0.639404297
111000000,2,-0.51953125
112000000,2,-0.198730469
113000000,2,0.198486328
114000000,2,0.519287109
115000000,2,0.641845703
115001000,1,0.639160156
116000000,2,0.519287109
117000000,2,0.198486328
118000000,2,-0.198730469
119000000,2,-0.51953125
120000000,2,-0.642089844
120001000,1,-0.639404297
121000000,2,-0.51953125
122000000,2,-0.198730469
123000000,2,0.198486328
124000000,2,0.519287109
125000000,2,0.641845703
125001000,1,0.639160156
126000000,2,0.519287109
127000000,2,0.198486328
128000000,2,-0.198730469
129000000,2,-0.51953125
130000000,2,-0.642089844
130001000,1,-0.639404297
131000000,2,-0.51953125
132000000,2,-0.198730469
133000000,2,0.198486328
134000000,2,0.519287109
135000000,2,0.641845703
135001000,1,0.639160156
136000000,2,0.519287109
137000000,2,0.198486328
138000000,2,-0.198730469
139000000,2,-0.51953125
140000000,2,-0.642089844
140001000,1,-0.639404297
141000000,2,-0.51953125
142000000,2,-0.198730469
143000000,2,0.198486328
144000000,2,0.519287109
145000000,2,0.641845703
145001000,1,0.639160156
146000000,2,0.519287109
147000000,2,0.198486328
148000000,2,-0.198730469
149000000,2,-0.51953125
150000000,2,-0.642089844
150001000,1,-0.639404297
151000000,2,-0.51953125
152000000,2,-0.198730469
153000000,2,0.198486328
154000000,2,0.519287109
155000000,2,0.641845703
155001000,1,0.639160156
156000000,2,0.519287109
157000000,2,0.198486328
158000000,2,-0.198730469
159000000,2,-0.51953125
160000000,2,-0.642089844
160001000,1,-0.639404297
161000000,2,-0.51953125
162000000,2,-0.198730469
163000000,2,0.198486328
164000000,2,0.519287109
165000000,2,0.641845703
165001000,1,0.639160156
166000000,2,0.519287109
167000000,2,0.198486328
168000000,2,-0.198730469
169000000,2,-0.51953125
170000000,2,-0.642089844
170001000,1,-0.639404297
171000000,2,-0.51953125
172000000,2,-0.198730469
